Date,Open,High,Low,Close,Volume
2016-01-04,1099.59,1110.75,1093.85,1109.64,66545000
2016-01-05,1117.47,1130.57,1112.75,1125.85,41227200
2016-01-06,1116.63,1138.68,1116.1,1133.04,42316800
2016-01-07,1122,1149.76,1117.56,1143.37,64899600
2016-01-08,1145.64,1149.96,1120.93,1122.88,52138900
2016-01-11,1126.04,1134.69,1120.15,1130.93,43684900
2016-01-12,1134.63,1140.91,1122.6,1127.71,42286900
2016-01-13,1130.63,1131.98,1098.54,1100.22,51882600
2016-01-14,1102.76,1126.36,1095.25,1117.71,46357200
2016-01-15,1093.31,1108.41,1087.7,1098.22,73740300
2016-01-19,1104.78,1113.13,1098.68,1107.63,47202300
2016-01-20,1094.74,1106.85,1071.79,1087.52,71055600
2016-01-21,1090.36,1116.13,1086.9,1101.73,49735700
2016-01-22,1113.77,1124.41,1109.16,1117.15,41273900
2016-01-25,1117.55,1131.14,1110.37,1120.9,36557000
2016-01-26,1120.63,1134.47,1117.03,1127.48,28257900
2016-01-27,1128.79,1142.32,1119.97,1122.51,45057100
2016-01-28,1130.87,1140.08,1120.86,1135.94,54703300
2016-01-29,1142.19,1166.45,1140.43,1163.88,71404200
2016-02-01,1161.42,1186.29,1158.74,1179.53,103833900
2016-02-02,1188.28,1196.07,1170.16,1176.58,127686900
2016-02-03,1183.46,1187.02,1141.78,1157.34,124033000
2016-02-04,1150.29,1160.52,1134.96,1152.79,104167600
2016-02-05,1156.38,1163.95,1137.55,1151.33,103096200
2016-02-08,1140.67,1153.13,1123.89,1149.88,87444100
2016-02-09,1130.62,1149.92,1120.33,1136.09,73648300
2016-02-10,1143.22,1152.4,1135.59,1137.82,53646000
2016-02-11,1126.15,1139.2,1121.47,1132.21,61505900
2016-02-12,1136.81,1146.17,1125.7,1141.72,43911800
2016-02-16,1149.98,1153.75,1134.89,1141.38,51664600
2016-02-17,1145.94,1155.54,1140.51,1149.47,51377500
2016-02-18,1123.59,1135.97,1103.48,1123.6,46868900
2016-02-19,1120.26,1132.75,1114.89,1130.77,35391200
2016-02-22,1132.96,1151.44,1131.33,1143.49,40407700
2016-02-23,1144.18,1154.96,1135.24,1149.46,41780500
2016-02-24,1143.94,1160.39,1136,1157.87,40598100
2016-02-25,1161.76,1171.36,1157.32,1170.27,34213100
2016-02-26,1171.66,1174.57,1149.05,1152.79,46195000
2016-02-29,1152.6,1159.64,1147.09,1148.49,50494400
2016-03-01,1153.87,1161.61,1145.32,1156.81,44274000
2016-03-02,1154.07,1159.57,1149.4,1154.06,33844800
2016-03-03,1151.1,1154.14,1134.91,1151.12,40912800
2016-03-04,1151.97,1165.22,1148.42,1157.76,40692600
2016-03-07,1154.64,1175.96,1144.18,1165.13,61064100
2016-03-08,1161.22,1174.5,1157.46,1166.49,42729100
2016-03-09,1165.11,1169.74,1156.13,1164.42,29487200
2016-03-10,1165.57,1173.76,1150.99,1165.45,57585300
2016-03-11,1171.89,1176.05,1160.04,1167.4,40278600
2016-03-14,1167.15,1175.88,1164.48,1170.74,35015500
2016-03-15,1165.51,1182.43,1164.81,1178.23,35242000
2016-03-16,1175.9,1184.08,1167.56,1179.7,33511300
2016-03-17,1177.91,1192.43,1171.5,1174.25,39053500
2016-03-18,1175.95,1182.13,1164.4,1168.54,63952300
2016-03-21,1169.05,1186.13,1167.37,1181.41,37917700
2016-03-22,1180.21,1190.32,1177.85,1179.87,26482600
2016-03-23,1181.97,1184.09,1173.54,1174.4,29286600
2016-03-24,1172.07,1180.8,1171.17,1179.54,32515200
2016-03-28,1179.25,1187.24,1177.78,1180.26,26622500
2016-03-29,1180.95,1185.86,1170.97,1183.03,38625400
2016-03-30,1188.15,1198.24,1187.25,1193.54,36369600
2016-03-31,1192.55,1198.04,1186.69,1188.26,34945600
2016-04-01,1180.91,1197.98,1180.35,1196.27,32217800
2016-04-04,1195.64,1200.69,1192.22,1195.2,23688100
2016-04-05,1192.02,1196.05,1182.6,1187.54,23371800
2016-04-06,1187.54,1195.04,1185.44,1194.64,21745700
2016-04-07,1192.17,1193.82,1179.19,1183.65,29699500
2016-04-08,1185.88,1187.31,1178.07,1181.49,26625700
2016-04-11,1182.21,1186.93,1172.87,1173.11,25638400
2016-04-12,1175.64,1192.1,1171.96,1191.07,28143800
2016-04-13,1195.44,1201.75,1192.25,1197.86,34711700
2016-04-14,1198.6,1200.72,1187.02,1194.44,23753800
2016-04-15,1196.26,1203.86,1195.82,1199.28,36972400
2016-04-18,1199.64,1211.69,1196.34,1210.76,31871800
2016-04-19,1210.96,1214.32,1201.01,1205.58,41429500
2016-04-20,1206.8,1209.43,1197.08,1198.86,31059300
2016-04-21,1202.67,1206.71,1187,1192.77,61566700
2016-04-22,1185.64,1190.2,1175.4,1182.08,119200200
2016-04-25,1179.31,1192.54,1173.62,1191.95,39625200
2016-04-26,1195.28,1197.54,1181.3,1185.21,55293200
2016-04-27,1187.09,1190.91,1176.66,1185.8,62185500
2016-04-28,1182.59,1190.69,1172.99,1175.29,57544700
2016-04-29,1173.11,1176.37,1145.78,1152.85,51204000
2016-05-02,1151.52,1164.71,1148.37,1162.68,33774500
2016-05-03,1154.01,1161.53,1151.15,1154.1,31439000
2016-05-04,1151.81,1162,1146.69,1157.31,34402600
2016-05-05,1155.48,1160.14,1150.44,1159.38,34628600
2016-05-06,1155.02,1174.58,1153.68,1174.23,37882400
2016-05-09,1174.52,1186.25,1172.83,1182.67,31421900
2016-05-10,1183.58,1188.16,1177.94,1184.23,32038400
2016-05-11,1169.5,1170.23,1145.23,1154.98,36856100
2016-05-12,1157.14,1163.49,1152.58,1159.29,28835600
2016-05-13,1154.7,1157.06,1133.36,1137.11,29666200
2016-05-16,1135.64,1155.42,1132.48,1151.08,28241300
2016-05-17,1151.35,1155.52,1134.17,1137.33,41079700
2016-05-18,1113.35,1124.48,1108.99,1115.81,41760800
2016-05-19,1169.75,1184.81,1161.16,1181.53,48437700
2016-05-20,1183.42,1196.73,1177.63,1191.99,40220300
2016-05-23,1188.03,1194.81,1185.44,1186.14,28466000
2016-05-24,1188.71,1201.95,1187.56,1199.63,39586900
2016-05-25,1199.98,1210.64,1199.52,1204.02,33383900
2016-05-26,1205.62,1215.16,1203.75,1207.82,32702900
2016-05-27,1207.91,1211.42,1203.71,1209.44,39919800
2016-05-31,1207.22,1214.56,1205.93,1210.8,43408600
2016-06-01,1207.22,1212.74,1204.97,1207.13,26091200
2016-06-02,1206.59,1212.4,1199.93,1210.99,27614100
2016-06-03,1206.33,1211.82,1202.95,1207.48,25340900
2016-06-06,1215.67,1216.03,1206.53,1207.72,32579000
2016-06-07,1209.33,1212.42,1205.45,1207.53,27719900
2016-06-08,1207.78,1216.06,1206.14,1214.02,32263500
2016-06-09,1213.21,1217.92,1207.23,1211.93,20688500
2016-06-10,1208,1214.73,1203.41,1209.6,25461300
2016-06-13,1206.96,1211.89,1201.15,1202.26,26390600
2016-06-14,1203.12,1210.8,1196.83,1206.97,27650700
2016-06-15,1210.03,1215.95,1207.22,1209.09,25578900
2016-06-16,1206.46,1212.29,1200.55,1208.51,40213000
2016-06-17,1205.13,1208.14,1191.43,1198.74,70403700
2016-06-20,1205.05,1211.56,1200.39,1201.06,42258100
2016-06-21,1200.8,1211.01,1198.83,1205.93,30062400
2016-06-22,1208.48,1216.48,1206.29,1209.69,25150700
2016-06-23,1214.85,1216.74,1206.97,1215.1,43983900
2016-06-24,1189.08,1218.34,1188.08,1205.27,90255600
2016-06-27,1200.28,1202.17,1189.16,1197.8,53781300
2016-06-28,1204.04,1205.75,1189.72,1201.53,44311000
2016-06-29,1203.84,1215.09,1202.55,1213.74,39283400
2016-06-30,1215.42,1224.64,1211.99,1222.61,33120800
2016-07-01,1223.9,1226.96,1215.74,1222.36,27957900
2016-07-05,1220.69,1230.97,1217.71,1224.85,31164300
2016-07-06,1224.71,1236.54,1223.38,1233.52,30327700
2016-07-07,1232.58,1234.93,1222.93,1229.46,27223300
2016-07-08,1234.06,1236.33,1226.47,1236.18,32799700
2016-07-11,1234.98,1245.36,1232.79,1241.59,24003500
2016-07-12,1237.14,1240.28,1229.75,1234.31,29457100
2016-07-13,1235.03,1239.5,1229.38,1237.2,19781600
2016-07-14,1240.58,1244.44,1237.42,1239.35,20132800
2016-07-15,1244.03,1244.38,1235.77,1238.67,26279000
2016-07-18,1239.21,1249.55,1237.47,1244.92,26478500
2016-07-19,1241.42,1247.28,1240.41,1243.8,25014500
2016-07-20,1246.63,1250.78,1243.67,1246.79,26329300
2016-07-21,1242.45,1245.49,1237.73,1242.92,20990700
2016-07-22,1246.67,1248.84,1241.13,1244.6,25563100
2016-07-25,1243.94,1247.74,1241.35,1245.95,21183800
2016-07-26,1245.25,1250.22,1240.36,1245.3,24307400
2016-07-27,1244.45,1248.21,1238.12,1241.66,30796900
